StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q43,Q3,Q4,Q35_NPS_GROUP,Q35,Q38_NPS_GROUP,Q38,Q39,Q40,Q7,Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q42,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q44,Q45,Q46
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please Select Today's Date: 
 
 
 



Qualtrics.SurveyEngine.addOnload(function ()
{
  var qid = this.questionId;
  var calid = qid + '_cal';
  var y = QBuilder('div');
  $(y).setStyle({clear:'both'});
  var d = QBuilder('div',{className:'yui-skin-sam'},[
    QBuilder('div', {id:calid}),
    y
  ]);
  
  var c = this.questionContainer;
  c = $(c).down('.QuestionText');
  c.appendChild(d);
  var cal1 = new YAHOO.widget.Calendar(calid); 
  cal1.render(); 
  var input = $('QR~' + qid);
  $(input).setStyle({marginTop: '20px',width: '150px'});
  var p =$(input).up();
  var x = QBuilder('div');
  $(x).setStyle({clear:'both'});
  p.insert(x,{position:'before'});
    cal1.selectEvent.subscribe(function(e,dates){
    var date = dates[0][0];
    if (date[1]","Participant I.D. __ __ /__ __/ __ __ (first two letters of your first name, first two letters of your last name, last two numbers of your birth year)","1. In general, would you say that your health is:","2. Since this program began, how many times have you fallen? - Group","2. Since this program began, how many times have you fallen?","If you fell since the program began:

 
a. how many of these falls caused an injury? (By an injury we mean the fall caused you to limit your regular activities for at least a day or to go see a doctor.) - Group","If you fell since the program began:

 
a. how many of these falls caused an injury? (By an injury we mean the fall caused you to limit your regular activities for at least a day or to go see a doctor.)",b. where did the fall(s) occur (Please check all that apply)?,c. what happened after you fell and had an injury? (Please check all that apply),3. How fearful are you of falling?,"4. Please mark the circle that tells us how sure you are that you can do the

following activities.

 

How sure are you that: - a. I can find a way to get up if I fall","4. Please mark the circle that tells us how sure you are that you can do the

following activities.

 

How sure are you that: - b. I can find a way to reduce falls","4. Please mark the circle that tells us how sure you are that you can do the

following activities.

 

How sure are you that: - c. I can protect myself if I fall","4. Please mark the circle that tells us how sure you are that you can do the

following activities.

 

How sure are you that: - d. I can increase my physical strength","4. Please mark the circle that tells us how sure you are that you can do the

following activities.

 

How sure are you that: - e. I can become more steady on my feet","5. During the last 4 weeks, to what extent has your concern about falling interfered

with your normal social activities with family, friends, neighbors or groups?","6. Please tell us your thoughts about this program. Check one circle for each

question.

 

As a result of this program: - a. I feel more comfortable talking to my health care provider about my medications and other possible risks for falling","6. Please tell us your thoughts about this program. Check one circle for each

question.

 

As a result of this program: - b. I feel more comfortable talking to my family and friends about falling","6. Please tell us your thoughts about this program. Check one circle for each

question.

 

As a result of this program: - c. I feel more comfortable increasing my activity","6. Please tell us your thoughts about this program. Check one circle for each

question.

 

As a result of this program: - d. I feel more satisfied with my life","6. Please tell us your thoughts about this program. Check one circle for each

question.

 

As a result of this program: - e. I would recommend this program to a friend or relative","7. Since this program began, what have you done to reduce your chance of a fall?

Check all that apply.","8. I have made safety modifications in my home, such as installing grab bars or securing

loose rugs, to reduce my risk of falling.",9. What best describes your activity level?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID66_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID35_NPS_GROUP""}","{""ImportId"":""QID35""}","{""ImportId"":""QID38_NPS_GROUP""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID7""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID41_2""}","{""ImportId"":""QID41_3""}","{""ImportId"":""QID41_4""}","{""ImportId"":""QID41_5""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43_24""}","{""ImportId"":""QID43_33""}","{""ImportId"":""QID43_34""}","{""ImportId"":""QID43_35""}","{""ImportId"":""QID43_36""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}"
2021-11-12 17:14:27,2021-11-12 17:16:37,IP Address,24.44.182.196,100,129,True,2021-11-12 17:16:37,R_22s1qMqDb5qvzOC,,,,,40.871002197265625,-73.05100250244140625,anonymous,EN,11-12-2021,Wasn42,Excellent,Detractor,0,,,,,A little,Very Sure,Very Sure,Very Sure,Very Sure,Very Sure,Not at all,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Talked to a family member or friend about how I can reduce my risk of falling,Had my vision checked,Had my medications reviewed by a health care provider or pharmacist",True,"Vigorously active for at least 30 min, 3 times per week"
2021-11-12 17:42:07,2021-11-12 17:45:29,IP Address,74.89.68.173,100,202,True,2021-11-12 17:45:29,R_1n6lZ8GNRudh0Tp,,,,,41.0092010498046875,-72.4766998291015625,anonymous,EN,11-12-2021,Fr/Fi/41,Very Good,Detractor,0,,,,,Somewhat,Sure,Very Sure,Sure,Somewhat Sure,Sure,Not at all,Agree,Agree,Agree,Agree,Strongly Agree,,False,"Vigorously active for at least 30 min, 3 times per week"
2021-11-12 17:59:35,2021-11-12 18:01:42,IP Address,69.116.133.61,100,127,True,2021-11-12 18:01:42,R_24GkcPmadkku4kT,,,,,40.8784942626953125,-72.95379638671875,anonymous,EN,11-12-2021,frle48,Very Good,Detractor,0,,,,,A little,Sure,Very Sure,Sure,Sure,Sure,Slightly,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Talked to a family member or friend about how I can reduce my risk of falling,Had my vision checked",True,Moderately active at least 3 times per week
2021-11-12 18:35:47,2021-11-12 18:38:05,IP Address,24.161.56.163,100,138,True,2021-11-12 18:38:05,R_OqU5EpbLy4oQy6l,,,,,41.9698028564453125,-74.0677032470703125,anonymous,EN,,maby46,Good,Detractor,0,,,,,A little,Very Sure,Very Sure,Sure,Very Sure,Very Sure,Slightly,Agree,Agree,Agree,Agree,Agree,"Talked to a family member or friend about how I can reduce my risk of falling,Talked to a health care provider about how I can reduce my risk of falling,Had my vision checked,Had my medications reviewed by a health care provider or pharmacist",True,"Seldom active, preferring sedentary activities"
2021-11-12 18:39:23,2021-11-12 18:43:04,IP Address,74.89.68.86,100,221,True,2021-11-12 18:43:05,R_2uF0bgaR8UJI9mh,,,,,41.06219482421875,-72.33100128173828125,anonymous,EN,,El ha 43,Good,Detractor,0,,,,,,Sure,Sure,Somewhat Sure,Sure,Sure,Slightly,Agree,Agree,Agree,Agree,Agree,,True,Moderately active at least 3 times per week
2021-11-12 18:41:38,2021-11-12 18:45:16,IP Address,69.127.117.164,100,218,True,2021-11-12 18:45:17,R_3stYgWaBkywZjOs,,,,,40.9160003662109375,-73.0496978759765625,anonymous,EN,11-12-2021,SULU39,Very Good,Detractor,0,,,,,A little,Somewhat Sure,Sure,Somewhat Sure,Sure,Sure,Not at all,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Had my vision checked,Had my medications reviewed by a health care provider or pharmacist",False,Moderately active at least 3 times per week
2021-11-12 18:54:13,2021-11-12 18:57:24,IP Address,173.2.211.208,100,191,True,2021-11-12 18:57:24,R_9TgiNAlBUE3eJ21,,,,,40.8108062744140625,-73.36669921875,anonymous,EN,11-12-2021,saro51,Good,Detractor,0,,,,,A little,Very Sure,Very Sure,Very Sure,Very Sure,Very Sure,Not at all,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Talked to a family member or friend about how I can reduce my risk of falling,True,Moderately active at least 3 times per week
2021-11-12 18:53:58,2021-11-12 18:58:36,IP Address,96.224.208.36,100,278,True,2021-11-12 18:58:36,R_0dBiJ51c6zpPz3j,,,,,40.8549041748046875,-73.2156982421875,anonymous,EN,11-12-2021,KAMA47,Good,Detractor,0,,,,,Somewhat,Somewhat Sure,Somewhat Sure,Somewhat Sure,Somewhat Sure,Somewhat Sure,Slightly,Agree,Agree,Agree,Agree,Strongly Agree,"Talked to a family member or friend about how I can reduce my risk of falling,Had my vision checked",True,Moderately active at least 3 times per week
